5.656854,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
5.656854,   [Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2}]
7.071068,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5}]
7.071068,   [Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
7.071068,   [Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2}]
7.071068,   [Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3}]
8.485281,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6}]
8.485281,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4}]
8.485281,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4}]
8.485281,   [Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
8.485281,   [Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5}]
8.485281,   [Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
8.485281,   [Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
8.485281,   [Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2}]
8.485281,   [Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2}]
8.485281,   [Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3}]
8.485281,   [Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2}]
